<2024-09-13 12:27:48>|| {REQUEST: uri: /provinsi, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.247672ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1284, custom-value: 42}
<2024-09-13 12:27:48>|| {REQUEST: uri: /tags/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.787565ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:721, custom-value: 42}
<2024-09-13 12:27:48>|| {REQUEST: uri: /provinsi/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.869626ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:180, custom-value: 42}
<2024-09-13 12:27:51>|| {REQUEST: uri: /asset/detail/12, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:71.297669ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:986, custom-value: 42}
<2024-09-13 12:27:51>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.512059ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:52>|| {REQUEST: uri: /file?path=uploads/asset/foto/12_storage.jpeg, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36, Error:<nil>, Latency:247.658µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:8739, custom-value: 42}
<2024-09-13 12:27:53>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.54832ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:53>|| {REQUEST: uri: /provinsi, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.906944ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1284, custom-value: 42}
<2024-09-13 12:27:53>|| {REQUEST: uri: /tags/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.057623ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:721, custom-value: 42}
<2024-09-13 12:27:53>|| {REQUEST: uri: /provinsi/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.767067ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:180, custom-value: 42}
<2024-09-13 12:27:54>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.141654ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:27:54>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.186633ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:55>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.152494ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:55>|| {REQUEST: uri: /provinsi, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.839326ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1284, custom-value: 42}
<2024-09-13 12:27:55>|| {REQUEST: uri: /tags/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.783436ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:721, custom-value: 42}
<2024-09-13 12:27:55>|| {REQUEST: uri: /provinsi/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.697307ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:180, custom-value: 42}
<2024-09-13 12:28:16>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.969465ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:28:16>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.53847ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:28:22>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.724148ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
