<2024-10-02 09:25:46>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36, Error:<nil>, Latency:3.872828ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:25:58>|| {REQUEST: uri: /surveyor, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.704291ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:25:59>|| {REQUEST: uri: /surveyor/aktif, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.348095ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:3612, custom-value: 42}
<2024-10-02 09:25:59>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.414744ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:26:26>|| {REQUEST: uri: /surveyor/user/5, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Dart/3.5 (dart:io), Error:<nil>, Latency:4.097567ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:26:55>|| {REQUEST: uri: /surveyor/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.522722ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:27:03>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.716852ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:27:06>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.582914ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:27:19>|| {REQUEST: uri: /surveyor/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.711483ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:27:24>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.637204ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:27:26>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.851901ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:28:38>|| {REQUEST: uri: /surveyor/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:5.345964ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:28:41>|| {REQUEST: uri: /survey_req/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.537647ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1565, custom-value: 42}
<2024-10-02 09:28:43>|| {REQUEST: uri: /survey_req/28, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.165109ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1629, custom-value: 42}
<2024-10-02 09:29:08>|| {REQUEST: uri: /surveyor, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.895782ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:29:08>|| {REQUEST: uri: /surveyor/aktif, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.220451ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:3612, custom-value: 42}
<2024-10-02 09:29:08>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.796124ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:29:50>|| {REQUEST: uri: /surveyor/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.036782ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:29:51>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.772375ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:30:32>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.724087ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:31:21>|| {REQUEST: uri: /surveyor/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:4.127792ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:31:32>|| {REQUEST: uri: /surveyor/user/4, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:3.705857ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:488, custom-value: 42}
<2024-10-02 09:31:39>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.824014ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:31:40>|| {REQUEST: uri: /surveyor/1, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:3.52831ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:143, custom-value: 42}
<2024-10-02 09:31:45>|| {REQUEST: uri: /surveyor/1, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:3.800227ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:143, custom-value: 42}
<2024-10-02 09:31:58>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:3.331352ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:32:02>|| {REQUEST: uri: /surveyor/1, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:170, User-Agent:PostmanRuntime/7.42.0, Error:<nil>, Latency:17.087105ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:2358, custom-value: 42}
<2024-10-02 09:32:17>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.276371ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
<2024-10-02 09:32:18>|| {REQUEST: uri: /surveyor/user/2, status: 401, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.629669ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:69, custom-value: 42}
